DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2024-10,3421,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2024-11,3545,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2024-12,3113,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-01,2009,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-02,3031,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-03,3299,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-04,3048,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-05,2951,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-06,3426,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-07,4600,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-08,3924,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-09,3768,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-10,3542,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-11,4780,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2025-12,3470,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2026-01,2548,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-01,51,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-02,49,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-03,64,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-04,240,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-05,90,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-06,174,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-07,260,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-08,159,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-09,202,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-10,52,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-11,65,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2010-12,291,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-01,26,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-02,91,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-03,59,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-04,57,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-05,83,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-06,191,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-07,254,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-08,78,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-09,112,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-10,146,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,7,M,2011-11,38,NUM,0,,
